"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"57","Mr. Modi's landslide victory echoes the people's mandate for strong leadership and clear policies for growth and prosperity for India.",FALSE,2656,NA,2014-05-19 02:29:26,FALSE,NA,"468216834202689536",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",2965,FALSE,FALSE,NA,NA
"58","Dr.Manmohan Singh demits office this week after 10 yrs. He led with great dignity and displayed high personal values. http://t.co/Yu5QaPlqTQ",FALSE,1622,NA,2014-05-14 12:37:55,FALSE,NA,"466558022081597440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",1461,FALSE,FALSE,NA,NA
"59","Greatly honored to receive recognition from UK so graciously bestowed by Her Majesty. See link for press statement. http://t.co/V9iB4RBL4p",FALSE,961,NA,2014-04-16 08:15:19,FALSE,NA,"456345076935839745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",475,FALSE,FALSE,NA,NA
"60","Wishing you all a very happy new year. I hope 2014 brings you everything you wish for, and that yr dreams are fulfilled",FALSE,914,NA,2013-12-31 17:14:33,FALSE,NA,"418067665966481409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",412,FALSE,FALSE,NA,NA
"61","I greatly appreciate the kind sentiments and greetings received on my birthday. They mean a lot to me. I wish you all a happy new year.",FALSE,657,NA,2013-12-28 17:44:58,FALSE,NA,"416988156638932992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",200,FALSE,FALSE,NA,NA
"62","The world has lost a great leader. Nelson Mandela was the father of a free South Africa where all people had equal rights. He will be missed",FALSE,574,NA,2013-12-06 02:47:02,FALSE,NA,"408789651777155072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",496,FALSE,FALSE,NA,NA
"63","We overlook importance of oceans on our planet. We must preserve this essential resource. Go to http://t.co/5Uo85X4UfH and make yr comments.",FALSE,432,NA,2013-11-28 10:34:25,FALSE,NA,"406008169983258624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",258,FALSE,FALSE,NA,NA
"64","Great to see the genuine public adoration for Sacin Tendulkar. He has truly made us all proud. He has achieved so much with such humility.",FALSE,893,NA,2013-11-16 15:35:09,FALSE,NA,"401735199005745154",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",986,FALSE,FALSE,NA,NA
"65","Was Inducted today into the National Academy of Engineering. This has been a great moment for me! 

https://t.co/8qOt3hummo",FALSE,397,NA,2013-10-07 02:34:55,FALSE,NA,"387043329558732800",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",171,FALSE,FALSE,NA,NA
"66","@threedprintindi @google this would be of interest to me. Pl indicate a best way contact with a view to know more of what you are doing.",FALSE,75,"threedprintindi",2013-10-06 02:45:03,FALSE,"386161835939876864","386683493977444352","1605925837","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",15,FALSE,FALSE,NA,NA
